run,net_r,max_drawdown_r
286,256.1066749737154,-8.729239014065598
287,256.10667497371503,-5.857816544150268
288,256.1066749737153,-8.45428622383792
289,256.10667497371503,-7.709684462767484
290,256.10667497371526,-7.408485838643564
291,256.1066749737154,-9.52883054730095
292,256.10667497371566,-7.227212953339404
293,256.1066749737149,-9.894176564042603
294,256.1066749737155,-9.201641559627406
295,256.1066749737152,-7.701057633383016
296,256.1066749737154,-14.747913953929071
297,256.1066749737153,-8.619641832795267
298,256.1066749737151,-8.753698468345632
299,256.1066749737152,-8.431281064974598
300,256.10667497371514,-12.757175306493593
301,256.1066749737152,-7.664229472947767
302,256.10667497371514,-9.767205537038805
303,256.1066749737152,-10.83283290570175
304,256.10667497371526,-7.604013051522315
305,256.10667497371526,-7.184481445098015
306,256.10667497371526,-7.789126163318741
307,256.1066749737151,-13.110547351796024
308,256.10667497371514,-10.021632671626122
309,256.1066749737154,-7.33753302263105
310,256.10667497371503,-7.753428972239902
311,256.10667497371526,-7.958236779554909
312,256.10667497371554,-11.363843806368124
313,256.1066749737152,-8.474618718723406
314,256.106674973715,-7.691250059074008
315,256.1066749737153,-10.451617371324716
316,256.1066749737151,-12.460483851259994
317,256.10667497371537,-10.708582790837124
318,256.10667497371537,-6.202060899766224
319,256.10667497371514,-7.490468447944835
320,256.10667497371486,-6.909491815445875
321,256.1066749737151,-7.350036700383264
322,256.1066749737154,-11.68706088379772
323,256.1066749737155,-7.712196247423549
324,256.106674973715,-19.626687043088335
325,256.1066749737154,-7.678613728953536
326,256.106674973715,-8.347156284207358
327,256.106674973715,-7.997271662467975
328,256.1066749737152,-10.697994570119384
329,256.10667497371503,-13.09405742647467
330,256.10667497371526,-11.814752583224077
331,256.10667497371503,-9.77559642033259
332,256.10667497371514,-10.541655595670818
333,256.1066749737153,-10.64652837701841
334,256.1066749737153,-8.278928696090134
335,256.1066749737153,-11.095748541923639
336,256.10667497371526,-12.29798405011914
337,256.10667497371554,-9.700877609956589
338,256.10667497371537,-10.094437884596346
339,256.1066749737151,-15.26656746960893
340,256.1066749737153,-14.516833764068595
341,256.1066749737152,-9.553207423269924
342,256.106674973715,-12.670492957302002
343,256.1066749737151,-8.529323062877872
