n,sumR,deltaR,pf,wr,combo,depth
3007,1090.7,-7188.5,1.646,50.4,atrpct_0.2_0.8 & dow_3,2
3452,1062.3,-7216.9,1.598,53.9,nyh_12_14 & impulse_ge_q40,2
3590,1061.9,-7217.2,1.548,51.9,nyh_12_14 & dow_not_fri,2
3800,1060.8,-7218.4,1.504,50.7,nyh_11_15 & sent_counter,2
4048,1060.3,-7218.9,1.459,49.1,nyh_11_15 & retr_0.5_0.8,2
3681,1058.6,-7220.6,1.526,52.1,retr_0.3_0.6 & dow_0,2
2852,1057.9,-7221.3,1.615,46.3,retr_0.5_0.8 & dow_4,2
3145,1056.5,-7222.7,1.597,50.3,atrpct_0.3_0.9 & dow_3,2
3329,1045.3,-7233.9,1.621,55.2,impulse_ge_q40 & dow_1,2
6325,1021.5,-7257.7,1.269,45.9,nyh_15_23 & dow_not_fri,2
2618,1021.3,-7257.9,1.777,54.8,impulse_ge_q50 & dow_4,2
2697,1010.7,-7268.5,1.679,51.1,sent_align & dow_3,2
2892,1006.6,-7272.6,1.667,53.7,impulse_ge_q50 & dow_3,2
2144,1006.0,-7273.2,1.861,51.9,dow_3 & leg_A,2
3473,1004.4,-7274.8,1.54,52.7,nyh_12_14 & retr_0.4_0.7,2
